mate_description
----------------

""
"A curious Affair"
"Armagedon"
"Back Seat"
"Black well Red"
"Blind Date"
"Bolt from the blue"
"Born Velvet"
"Bright Spell"
"Cloud 9"
"Come as you Are"
"Crossed Out"
"Cut Across"
"Dawn of an Era"
"Day after Day"
"Day off"
"Defied"
"Electric Shock"
"Endless"
"Fit like a glove"
"Goldmind"
"Goldrush"
"Hazed Over"
"Hours of Light"
"Jack Used"
"Karma"
"Living Dreams"
"Love at First sight"
"Made in the Shade"
"Mist"
"New Super Slender"
"Night Fall"
"Night Owl"
"No Wonder Light"
"Nocturnal Light"
"Once upon blue"
"Palladium Red"
"Passion Pit"
"Pearl"
"Pearly Black"
"Play it Safe"
"Prospective"
"Radioactive"
"Rattle your cage"
"Real Boy"
"Reviver"
"Roll in the Grass"
"Roxy"
"School Yard"
"Shaded Off"
"Sheer"
"Silver Mist"
"Simple Past"
"Skies the Limit"
"Snowflake"
"Soulmate"
"Sun Kissed"
"Super Slender"
"The Other side of Me"
"Think Fast"
"Total Eclipse"
"Ultra slender"
"Under my car Stretch"
"Water colour"
"White Selvedge"
"word from the bird"
????
0022 CONSCIOUS MAN
0022 DO I EVEN CARE
0022 FLY ME AWAY
0022 Imp CANVAS STITCH AllOver
0022 ImpimÇ Me All Over
0022 ImpimÇ PINS All Over
0022 ImpimÇ TRACE All Over
0022 JUST SAY V TO EVERYTHING
0022 LESS NESS
0022 LOVE LESSNESS
0022 MY HEART
0022 Tissu dble Broderie C
0022 Tissu dble Ouat Brod C
0039 CONSCIOUS MAN
0039 DO I EVEN CARE
0039 FLY ME AWAY
0039 Imp CANVAS STITCH AllOver
0039 ImpimÇ Me All Over
0039 ImpimÇ PINS All Over
0039 ImpimÇ TRACE All Over
0039 JUST SAY V TO EVERYTHING
0039 LESS NESS
0039 LOVE LESSNESS
0039 MY HEART
0039 Tissu dble Broderie C
0039 Tissu dble Ouat Brod C
0107 CONSCIOUS MAN
0107 FLY ME AWAY
0107 JUST SAY V TO EVERYTHING
0107 LESS NESS
0107 LOVE LESSNESS
0107 MY HEART
0125 JERSEY UNI J12 Det LUXE
0126 JERSEY+ 0163 STRETCH J12
012A1612
0133 J18 APPLICATION SANGLES
0133 JACQUARD SYMBOLS J18
0133 MAILLE LISIERES JACQUARD J18
0140 + 0190 TRACKSUIT J18
0157 J8 COTES ANGLAISES MULTICOLORES
0163 TISSU NYLON ST/0133 J18
0163 TISSU NYLON STRETCH J18
0178 + 0133 J8 COTES ANGLAISES
0178 POINT RELIEF J8
0180 PLASTRON COTES IRREG J12
0181 TISSU CAMEL & SOIE J18
0184 TRAT PLASTER COLOR USED
0184 TRAT QUARTER NELSON USED
0184 TRAT USED
0186 ImpimÇ PINS All Over
0186 ImpimÇ TRACE All Over
0187 ImpimÇ PINS All Over
0187 ImpimÇ TRACE All Over
0188+0140 M HARDIOR KAL J14
0195 LESS NESS
0241 MY HEART
0245 LOVE LESSNESS
0257 MY HEART
0262 MY HEART
0263 ImpimÇ PINS All Over
0263 ImprimÇ Me All Over
0263 LOVE LESSNESS
0314 ContrecollÇ Thermo CARREAUX
0326 ContrecollÇ Thermo CARREAUX
0438 Broderie Scratch
