colo_description
----------------
P63 ROSE       
J102 Jaune clai
LGA65 / VERDE AVAN/M
6B0AT / MARRONE SC/P
003ZR / NOIR MAT/NY-
69D Vermillon/F
V003 Vert      
P0B6-02 Turquoi
FCX7P Tr yellow
05F Blanc/Gouac
A5B3 Goldn metal/Drk
Q07 LOTUS      
02D Corail/Blan
VLW70 BLUE
RHGJS / CIC GHIKAK/G
6LBKU / RUTHENIUM/PL
37865 / AMBER/HORN/B
VLBCV / RUTENMARR/NY
A03P010 CIEL PA
E3Z24 BLK/YELL
U51 SAPIN      
YOSHI 525 claret-col
MG423 GUT 4236
VLFN2 / RUTEN NERO/N
U44 BRILLIANT G
371 Rouge      
JB0SF SILVER   
J34 MARACUJAS  
J5GIR GOLD/GREY
PZAXL Dk olive 
ANS95 / NOIR RUTHE/A
6MAHA TRSP GREY
A7V4 Golden metal / 
V906 Shining green  
774Marron fonc‚
Y09 FUCHSIA/MAL
000            
B1M7 Light blue/Dark
M6W0 Dark Brown / Wh
5PV   BRN/PRL/
07A BLANC/BLEU 
PECZM BLACK    
AZTPI / Blue
DKKQ0 / GRIG VERDE/A
FYSY1 / BORDEAUX/CR-
QTWFM / PORPOR SC/CR
010PL / PALLADI/CR-G
C40 BEIGE      
08604 / dark havana
KHYT4 / NE LUC CAN/P
DXN94 BLACK    
65Z29 / NOIR/NY-GREY
A9X   LTHAVANA/
356 Bois de rose
QSJZW / VERDE ORO/CR
RRCP9 / MARRONE/NY-G
MWCMH / MAR LUCIDO/N
8073H BLACK    
51D NOIR/BORDEA
83D Rose Poudre
HOQ06 / AVANA/PL-BRW
XXXGI02 Mix com
J72 ORANGE     
ML201 LAN 201
MG230 GUT 230
08673 / HAV FONCE/PL
QFIVN / VIOLA/NY-MAU
FDYNP / ORO ROSSO/NY
N206 Light grey   06
011DC MTT SILVR
02SDC SILVER
ML029 LAN 029
H41TZ / gold
49C Imprim‚ canage
09G Imprim‚ bab
ML481 LAN 481
003HA PALE ROSE
PVQ05 / RUTEN VER/MA
92E Turquoise/N
788KU BURGUNDY 
VVY73 / AVANA SCUR/P
427 Rose ballet
DNP5U / brown 
ARQLF / ARG.PERLE/CR
630 Pink Gold/W
806S3 / OLIVE FONC/M
F000 Canna di f
1H3Y1 / MARRONE F./C
0033C / NOIR MAT/NY-
041 BRONZ VIEIL
629 Crazy Red  
VHIJO GUN/BRONZ
11H KAKI       
MF339 FEN 339
ML568 LAN 568
BYVT9 / VIOLA NERO/M
PZE8T / Brown
388 Rouge/Perle
O19 CORAIL CLAI
23T Lilas/Over 
Yellow navy 3
82D Cobalt/Lin/
J1O4 Lght Yellow / O
M2V4 Lght Beige / Ka
62F Jaune/Gris/
White metal/Topaz
D1C   LT GLD/MAU/
GTGYR / VERDE OPAL/C
QTDUU / CICLAMINO/PL
MFTY1 / NERO CREMA/C
K7WP8 / dark grey
M4M4 D. beige / D. B
639 Pink       
QPUP8 / NERTR GRIG/V
537 537 Bleu USA
O43 SCOUBIDOU  
GCG   HAVAMTCOR/
MF291 FEN 291
ML707 LAN 707
340 ROSE FRAMBO
528 Bright Blue
Y62 BLEU       
CXCDL / MARRONE/NY-B
RELDB / AVA SCURO/CR
6LBZH / RUTHENIUM/NY
CVRNA / BLEU RUTHE/A
17B BLEU IRIS  
053 Blanc      
584TP / black
LWGHA HVN/IVORY
844 Gris       
42LBN White    
274 Moutarde   
353 Poudre     
YB7SP / ARGENT/CR-BR
3C3HD BLUE NAVY
20K Ciel fonc‚ 
CAMID 2207 brown
MG402 GUT 4029
222 Jaune Pale 
61QHD GREY
MF260 FEN 260
E67HJ / dk burgundy
B1N4 Blue / Grey
P9O1 Prune / Orange
328 Rouge      
ML13 LAN 131
477 Begonia    
B87G100 BLEU NU
YOSHI 007 beige
ANGHA Red Brown
SAI3K / MARRONE/PL-B
D3EFL / BEIGE SFUM/A
SYWP0 / AVASC ORO/NY
TVZ9Z VIOLET   
P7NE5 NAVY BLUE
Special blue
063 Geranium / 
8G7   GREYCOQBK/
540 Bleu Canard
FCZDB / BOIS FCE/CR-
ENQ9A / grey
954 Noisette claire
EDMT4 / NERO ARGEN/P
J46 SUNNY      
P0B6Y19 pall+sm
36B Noir festif
073 black/beige
61C Rose/Blue  
B09 BLEU       
ML827 LAN 827
RWZON / AVA PER TU/N
N5N5 Antracite grey/
O1W0 Light orange /W
MY110 YKK 110
111 Beige      
11H Green Flag 
952 Noir/Foular
MY392 YKK 392
65A Bleu/Rouge 
3OREJ HAVANA   
QKBCO / MAR MAROPA/C
84C BLANC-NOIR/
N504 Anthracite grey
D0166 - MU89+MN
008 pall/yellow
CAMID 2718 khaki
62B Rose/Gris
DMVMW / BLANC/NY-BRO
756 Taupe      
778Marron fonc‚
UJL1W / NERO GIALL/P
SPMY6 / PURPLTORT/BR
V72 VERT       
MY255 YKK 255
OVBMH / MARR AVANA/N
DQOG5 / ROSSO LUCI/B
93C Jaune / Gri
P0B0-02 Palladi
90D JAUNE/FARD/
V716 Gold      
RDQXA / MARRONE BR/C
807LF BLACK    
KTNK2 / TRASP VIOL/C
YB7ZR / silver
MY128 YKK 128
MR9   RD BURGRD/
Y01 VERT/CELEST
12Y Bright Citr
867 GREY / BROW
CQMO8 / dark tortois
PECVK / BLACK SM
I0B0 Ivory / Blue
CAMID 2408 red
73D Marine/Anth
NY6HA RED MOP H
779 NOIR / JAUN
D28BM BLACK
O0Z6 Orange/Sh. tran
46Q VERT FONCE 
065 Blanc      
63Q Deep Blue/A
KEW   PLUM MTBK/
28A Imp Noir ro
COIMO / BORD OPALE/P
HKG95 / Black
AGLP9 / NOIRGRISFC/N
011VK / PALLAD.MAT/N
4YJ   BRN/BRN/
M3O1 Beige moyen / O
KLY8N AQUA     
RMTLZ MTT PURPL
620 Bordeaux   
MG325 GUT 325
29AWJ BLACK
62G Gris/Blanc/
02T COGNAC     
DMMEL / RUTEN SCSL/P
807JD BLACK    
OVOS8 / CACAO/VERT
003BA / NOIR MAT/CR-
TMNP7 / VIOLA/AP-BUR
ACZJJ BLACK
471 Pal/ora/blu
YOSHI 831 grey
ATWAD / Bordeaux/Red
968 968 Teck
NRG95 / MARCH MAPR/G
006HD BLACK    
H02Q Blue&Marin
ALOJ8 / PORPOR SC/CR
010SG / PALLADIUM/AP
N92 BRONZE     
LL1JJ / GRISC PALL/G
QZQCO / SABB RUTEN/C
09K Metallic Gr
MF201 FEN 201
POVV4 / NEROLU SML/P
010E5 / PALLADIUM/PL
ANZ5V  / Cocoa
J5GMH / gold&br/grey
208 Beige rose/
G1   White gold
M3P3 Mid Beige/Dark 
MG309 GUT 309
Y51 VERT NOIR  
CAMID 2722 D. green
912 LAGON/NOIR 
33Q Cobalt/Encr
R18 ROUGE FLUO 
J24 JAUNE      
J007 Yellow   07
05E Orange/Mult
667 Vert       
369 Red/Black  
GAP68 HVN/YELL
956 Acier      
4U9YP / white
EPAO3 / black
3YGP7 BROWN HOR
973 Tiramisu   
ML476 LAN 476
OJLN6 / NERO GRIGI/N
KCQKJ / PALL.NOIR/NY
ML169 LAN 169
LRVJN / LIGHT BROWN
UKCMA / RUTEN NERO/P
807T4 BLCK/SILV
502 Glacier    
65D Noir/Sable 
MY317 YKK 317
MF 48 FEN 48
ML114 LAN 114
MY268 YKK 268
RERMH / ORO AVANA/NY
IHZZC / MARRSF LUC/P
952 Noir       
642 Vert       
988 988 Marron dor‚
299 VIGNE      
862 Parme gris‚
793 FUCHSIA COS
DTALF / red
429 Vert Turquoise
457 Violet     
42F Poudre/Arge
E67G100 CUOIO O
634 Vert fonc‚ 
QA3   ORCHID/
MY877 YKK 877
CUKO8 / OROCH ARAN/C
92Q ROSE PALE/F
MO46 ORANGE RED
CAMID 2802 yellow
MG976 GUT 9765
V4FPG / FUCHSIE/CR-P
AYEVK / RUTEN ROSS/N
N1B3 Grey / Dark Blu
F08 FUCHSIA    
404 Rose       
11C Lune/Rouge
ML723 LAN 723
RPXVK /Grey horn
PYY70 HONEY-BLA
75B 75B Bleu ozone/B
E17G100 ROSE CE
MF152 FEN 152
01U Champagne  
V605 Fluo green   05
D17 SOUND      
Black/Black
79D Jaune/Anthr
FPNYY / AVANA MIEL/B
VA6EK / beige
34Q TANGERINE/R
601 Vert Brilla
BYTY1 / VIOLA CICL/C
P95 ROSE MK    
XW7K1 NAVY/GOLD
451 Lilas      
E8TBN / black
QEAYY / GRIBE MARU/P
93C Noir/Safran
151 Taupe      
Y59 BLANC MARRO
D0064 - MB87+MF
YOSHI 857 brown
MY278 YKK 278
RG7HA HAVANA HO
D28Q3 / black transp
84D BLANC/NOIR/
R79 ROUGE FONCE
85F Rayures lab
MY121 YKK 121
320 Rose tulle 
QJOSB / MARR CIOCC/C
KJ18F / RUTENIO SC/P
095 Palla/Grey/
Grassland green
3OA51 GREY CRIS
31D72 / NOIR/GRIS
3YGPN / ORO CHIARO/C
P52 ROSE VIF   
OKVEJ / BORDEAUX/CR-
BKUAS / ROSSO SMLC/N
HK2CC Trspt BRO
120 Dune M203  
AQTMH / HAVFCEOR/NY-
N98 CROMO      
006LE / NOIR BRIL/CR
CTEKX / BLU SCURO/PL
SZAQX / MARBOR RUS/N
762 Marron     
CGPVS / PALLADIO/PL-
04P Rose       
506 Bleu       
MF 47 FEN 47
SUO6S / ORO CORNO/NY
MF229 FEN 229
2ARJS Violet-br
W94P010 PERLE P
34P ROSE QUARTZ
01HS5 GREEN    
BEL 795 Green
EOV3N / NEROSEMIOP/N
WH3ZW / green
8068U / OLIVE FONC/C
85LHD SILVER   
02M Caf‚ fonc‚ 
16P ROSE POUDRE
41Q MARINE/ARGE
40Q Noir/Rouge 
700 Marron     
R89 PLUM       
V0A7B12 copr go
22L COGNAC/BEIG
MF325 FEN 325
E6CLF / black/pink
9K3BN / black
W2P3 Unbleached/Dark
593 Cobalt     
ABPVK / BIANC NERO/N
11Q EMERAUDE/TU
XMCHD BLACK-BLU
17M Noisette Fo
11K Rose Metall
V671 Btle green
278 Geranium/Ro
70C Toxic Purpl
MG383 GUT 3837
MY104 YKK 104
O5SSS GREEN
16W Blue Green/
B109 Light blue   09
PTODO / ROSSO NERO/N
815 Panna grey 
FNCM8 / RUTEN ALLM/P
MUYMH / MARR ARANC/N
CAMID 2625 navy
QGNP9 / NERO LEGNO/N
86PE5 / ARG.NOIR/PL-
M0M1 Brown / Beige
023 Blanc cass‚
TLJX7 / BEIORO NER/C
62D Noir/Vert V
E5ZO0 / GRIS/NY-GREY
G207 Olivine   07
428 Rose vif   
506 Palla/blue/
P702 Violet fon
518 Bleu       
FOAN2 / ORO NERO/ROS
QIT4I / ROSSO NERO/P
LAO2R / PALLA AZZU/N
208 JAUNE FLUO 
012 palla/gold 
35D GRIS/ROSE/B
329 Vieux rose 
MQWZR / ORO VIOLA/NY
OYKS3 Pallad-bl
